"instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"In-state Tuition & Fees $18,499 (2018-19)","Out-of-state Tuition & Fees $33,879 (2018-19)","Room and Board $11,580 (2018-19)","Total Enrollment 15,364","Public, Coed","None","Semester","Suburban","Suburban","$365.4 million +","            $51,000*","            77%","            18:1","            68%"
"In-state Tuition & Fees $12,262 (2017-18)","Out-of-state Tuition & Fees $32,362 (2017-18)","Room and Board $10,008 (2017-18)","Total Enrollment 34,731","Public, Coed","None","Semester","City","City","$610.3 million","            $47,100*","            72%","            17:1","            59%"
"Tuition & Fees $48,040 (2018-19)","Tuition & Fees $48,040 (2018-19)","Room and Board $13,650 (2018-19)","Total Enrollment 6,255","Private, Coed","None","Semester","City","City","$422.7 million +","            More selective","            Jan. 15","            47%","            6,255"
"Tuition & Fees $39,552 (2018-19)","Tuition & Fees $39,552 (2018-19)","Room and Board $11,116 (2018-19)","Total Enrollment 4,433","Private, Coed","Presbyterian Church (USA)","Semester","City","City","$1.1 billion","            $60,100*","            39%","            11:1","            50%"
"In-state Tuition & Fees $10,822 (2018-19)","Out-of-state Tuition & Fees $28,336 (2018-19)","Room and Board $12,648 (2018-19)","Total Enrollment 51,164","Public, Coed","None","Semester","Urban","Urban","$512.4 million +","            $52,000*","            84%","            21:1","            45%"
"In-state Tuition & Fees $11,276 (2018-19)","Out-of-state Tuition & Fees $30,524 (2018-19)","Room and Board $13,332 (2018-19)","Total Enrollment 29,776","Public, Coed","None","Semester","Suburban","Suburban","$729.0 million","            $51,100*","            84%","            19:1","            49%"
"In-state Tuition & Fees $14,409 (2018-19)","Out-of-state Tuition & Fees $30,717 (2018-19)","Room and Board $13,536 (2018-19)","Total Enrollment 12,768","Public, Coed","None","Semester","Urban","Urban","$163.6 million +","            $53,800*","            64%","            12:1","            37%"
"In-state Tuition & Fees $13,006 (2018-19)","Out-of-state Tuition & Fees $31,196 (2018-19)","Room and Board $11,240 (2018-19)","Total Enrollment 28,321","Public, Coed","None","Semester","Urban","Urban","$714.0 million +","            $49,200*","            77%","            17:1","            46%"
"Tuition & Fees $39,975 (2018-19)","Tuition & Fees $39,975 (2018-19)","Room and Board $14,235 (2018-19)","Total Enrollment 22,769","Private, Coed","Roman Catholic","Quarter","Urban","Urban","$492.4 million","            $51,500*","            72%","            16:1","            59%"
"Tuition & Fees $38,178 (2018-19)","Tuition & Fees $38,178 (2018-19)","Room and Board $12,586 (2018-19)","Total Enrollment 9,190","Private, Coed","Roman Catholic","Semester","Urban","Urban","$307.9 million","            $50,300*","            72%","            14:1","            68%"
"In-state Tuition & Fees $9,002 (2018-19)","Out-of-state Tuition & Fees $23,392 (2018-19)","Room and Board $8,720 (2018-19)","Total Enrollment 35,993","Public, Coed","None","Semester","City","City","$910.4 million","            $53,600*","            89%","            19:1","            45%"
"Tuition & Fees $42,170 (2018-19)","Tuition & Fees $42,170 (2018-19)","Room and Board $15,800 (2018-19)","Total Enrollment 9,801","Private, Coed","Roman Catholic","Semester","Suburban","Suburban","$251.1 million","            $53,800*","            73%","            13:1","            56%"
"In-state Tuition & Fees $9,222 (2018-19)","Out-of-state Tuition & Fees $29,215 (2018-19)","Room and Board $10,262 (2018-19)","Total Enrollment 32,760","Public","None","N/A","N/A","N/A","$1.0 billion +","            $51,700*","            66%","            16:1","            31%"
"In-state Tuition & Fees $9,062 (2018-19)","Out-of-state Tuition & Fees $24,443 (2018-19)","Room and Board $10,994 (2018-19)","Total Enrollment 31,626","Public, Coed","None","Semester","City","City","$1.1 billion +","            $52,000*","            69%","            18:1","            41%"
"In-state Tuition & Fees $6,410 (2018-19)","Out-of-state Tuition & Fees $17,324 (2018-19)","Room and Board $9,700 (2018-19)","Total Enrollment 43,540","Public, Coed","None","Semester","Urban","Urban","$410.3 million +","            $46,400*","            44%","            22:1","            51%"
"Tuition & Fees $41,133 (2017-18)","Tuition & Fees $41,133 (2017-18)","Room and Board $10,054 (2017-18)","Total Enrollment 9,878","Private, Coed","Roman Catholic","4-1-4","Urban","Urban","$413.0 million","            $51,600*","            84%","            14:1","            65%"
"In-state Tuition & Fees $7,488 (2018-19)","Out-of-state Tuition & Fees $19,368 (2018-19)","Room and Board $16,735 (2018-19)","Total Enrollment 34,828","Public, Coed","None","Semester","Urban","Urban","N/A","            $51,000*","            35%","            27:1","            36%"
"Tuition & Fees $42,900 (2018-19)","Tuition & Fees $42,900 (2018-19)","Room and Board $13,580 (2018-19)","Total Enrollment 10,882","Private, Coed","None","Semester","Suburban","Suburban","$524.2 million","            $54,500*","            72%","            15:1","            60%"
"Tuition & Fees $45,804 (2018-19)","Tuition & Fees $45,804 (2018-19)","Room and Board $14,650 (2018-19)","Total Enrollment 6,023","Private, Coed","Roman Catholic","Semester","Urban","Urban","$336.9 million","            $51,000*","            83%","            7:1","            66%"
"In-state Tuition & Fees $10,780 (2018-19)","Out-of-state Tuition & Fees $29,230 (2018-19)","Room and Board $10,102 (2018-19)","Total Enrollment 38,563","Public, Coed","None","Semester","Suburban","Suburban","$785.4 million","            $48,700*","            56%","            23:1","            44%"
"In-state Tuition & Fees $14,816 (2018-19)","Out-of-state Tuition & Fees $27,672 (2018-19)","Room and Board $10,882 (2018-19)","Total Enrollment 30,539","Public, Coed","None","Semester","Urban","Urban","$369.3 million +","            $54,000*","            77%","            19:1","            30%"
"In-state Tuition & Fees $11,148 (2018-19)","Out-of-state Tuition & Fees $27,358 (2018-19)","Room and Board $10,350 (2018-19)","Total Enrollment 27,625","Public, Coed","None","Semester","City","City","$1.6 billion +","            $48,600*","            93%","            17:1","            42%"
"In-state Tuition & Fees $9,879 (2018-19)","Out-of-state Tuition & Fees $26,949 (2018-19)","Room and Board $10,676 (2018-19)","Total Enrollment 30,870","Public, Coed","None","Semester","City","City","$922.1 million","            $47,800*","            78%","            18:1","            44%"
"In-state Tuition & Fees $9,242 (2018-19)","Out-of-state Tuition & Fees $25,038 (2018-19)","Room and Board $11,430 (2018-19)","Total Enrollment 26,079","Public, Coed","None","Semester","City","City","$958.0 million +","            $48,300*","            64%","            21:1","            39%"
"In-state Tuition & Fees $13,034 (2018-19)","Out-of-state Tuition & Fees $36,876 (2018-19)","Room and Board $11,532 (2018-19)","Total Enrollment 27,642","Public, Coed","None","Semester","Suburban","Suburban","$482.9 million +","            $54,700*","            76%","            23:1","            52%"
"In-state Tuition & Fees $12,462 (2018-19)","Out-of-state Tuition & Fees $35,922 (2018-19)","Room and Board $11,460 (2018-19)","Total Enrollment 35,960","Public, Coed","None","Semester","Suburban","Suburban","$77.7 million","            $54,700*","            81%","            17:1","            49%"
"In-state Tuition & Fees $15,646 (2018-19)","Out-of-state Tuition & Fees $33,726 (2018-19)","Room and Board $10,756 (2018-19)","Total Enrollment 7,319","Public, Coed","None","Semester","Rural","Rural","$106.4 million +","            $64,300*","            74%","            13:1","            28%"
"In-state Tuition & Fees $13,627 (2018-19)","Out-of-state Tuition & Fees $41,641 (2018-19)","Room and Board $16,454 (2018-19)","Total Enrollment 7,967","Public, Coed","None","Semester","Rural","Rural","$47.5 million","            $53,700*","            69%","            20:1","            33%"
"Tuition & Fees $43,050 (2018-19)","Tuition & Fees $43,050 (2018-19)","Room and Board $12,850 (2018-19)","Total Enrollment 4,803","Private, Coed","None","4-1-4","Suburban","Suburban","$98.1 million +","            $46,300*","            48%","            12:1","            52%"
"In-state Tuition & Fees $11,982 (2018-19)","Out-of-state Tuition & Fees $29,884 (2018-19)","Room and Board $12,566 (2018-19)","Total Enrollment 33,237","Public, Coed","None","Semester","City","City","$344.3 million +","            $50,800*","            83%","            16:1","            45%"
"Tuition & Fees $45,700 (2018-19)","Tuition & Fees $45,700 (2018-19)","Room and Board $15,708 (2018-19)","Total Enrollment 11,131","Private, Coed","None","Semester","Suburban","Suburban","$553.0 million +","            $51,600*","            64%","            13:1","            53%"
"In-state Tuition & Fees $11,950 (2018-19)","Out-of-state Tuition & Fees $28,627 (2018-19)","Room and Board $11,830 (2018-19)","Total Enrollment 30,861","Public, Coed","None","Semester","Urban","Urban","$529.1 million","            $51,400*","            74%","            20:1","            40%"
"Tuition & Fees $36,894 (2018-19)","Tuition & Fees $36,894 (2018-19)","Room and Board $12,522 (2018-19)","Total Enrollment 8,653","Private, Coed","None","Semester","City","City","$319.1 million +","            $49,100*","            73%","            13:1","            47%"
"In-state Tuition & Fees $11,166 (2018-19)","Out-of-state Tuition & Fees $30,141 (2018-19)","Room and Board $12,855 (2018-19)","Total Enrollment 30,896","Public, Coed","None","Quarter","City","City","$624.5 million","            $53,000*","            79%","            18:1","            33%"
"In-state Tuition & Fees $9,756 (2018-19)","Out-of-state Tuition & Fees $24,436 (2018-19)","Room and Board $13,882 (2018-19)","Total Enrollment 17,743","Public, Coed","None","Semester","Suburban","Suburban","$65.3 million +","            $48,400*","            54%","            19:1","            56%"
"In-state Tuition & Fees $11,584 (2018-19)","Out-of-state Tuition & Fees $25,820 (2018-19)","Room and Board $11,398 (2018-19)","Total Enrollment 30,614","Public, Coed","None","Semester","Rural","Rural","$975.2 million","            $53,000*","            73%","            15:1","            38%"
"Tuition & Fees $38,660 (2018-19)","Tuition & Fees $38,660 (2018-19)","Room and Board $16,030 (2018-19)","Total Enrollment 7,978","Private, Coed","None","Semester","Suburban","Suburban","$179.8 million","            $49,700*","            73%","            12:1","            55%"
"In-state Tuition & Fees $10,135 (2017-18)","Out-of-state Tuition & Fees $25,492 (2017-18)","Room and Board $9,430 (2017-18)","Total Enrollment 22,795","Public, Coed","None","Semester","City","City","$506.4 million +","            $51,200*","            95%","            18:1","            33%"
"Tuition & Fees $48,631 (2018-19)","Tuition & Fees $48,631 (2018-19)","Room and Board $18,000 (2018-19)","Total Enrollment 10,474","Private","None","N/A","N/A","N/A","$368.0 million +","            $46,500*","            70%","            9:1","            51%"
"In-state Tuition & Fees $11,000 (2018-19)","Out-of-state Tuition & Fees $26,334 (2018-19)","Room and Board $11,340 (2018-19)","Total Enrollment 37,204","Public, Coed","None","Semester","Urban","Urban","$1.3 billion","            $51,500*","            76%","            16:1","            34%"
"In-state Tuition & Fees $12,180 (2018-19)","Out-of-state Tuition & Fees $29,168 (2018-19)","Room and Board $12,814 (2018-19)","Total Enrollment 29,465","Public, Coed","None","Semester","City","City","$1.3 billion","            $49,300*","            96%","            17:1","            40%"
"Tuition & Fees $34,310 (2018-19)","Tuition & Fees $34,310 (2018-19)","Room and Board $12,400 (2018-19)","Total Enrollment 3,782","Private, Coed","Roman Catholic","Semester","Suburban","Suburban","$83.8 million +","            $43,900*","            65%","            12:1","            63%"
"Tuition & Fees $41,760 (2018-19)","Tuition & Fees $41,760 (2018-19)","Room and Board $17,280 (2018-19)","Total Enrollment 21,346","Private, Coed","Roman Catholic","Semester","Urban","Urban","$716.5 million","            $50,000*","            68%","            17:1","            37%"
"Tuition & Fees $32,610 (2018-19)","Tuition & Fees $32,610 (2018-19)","Room and Board $10,570 (2018-19)","Total Enrollment 3,350","Private, Coed","Southern Baptist","Semester","City","City","$40.5 million +","            $44,800*","            60%","            9:1","            69%"
"In-state Tuition & Fees $9,130 (2018-19)","Out-of-state Tuition & Fees $25,168 (2018-19)","Room and Board $11,020 (2018-19)","Total Enrollment 27,558","Public, Coed","None","Semester","City","City","$996.0 million +","            $49,600*","            66%","            19:1","            42%"
"In-state Tuition & Fees $8,290 (2018-19)","Out-of-state Tuition & Fees $23,554 (2018-19)","Room and Board $10,502 (2018-19)","Total Enrollment 23,136","Public, Coed","None","Semester","Rural","Rural","$670.6 million +","            $46,100*","            84%","            18:1","            39%"
"Tuition & Fees $40,488 (2018-19)","Tuition & Fees $40,488 (2018-19)","Room and Board $11,312 (2018-19)","Total Enrollment 6,172","Private, Coed","Multiple Protestant Denomination","4-1-4","Suburban","Suburban","$146.4 million +","            More selective","            rolling","            55%","            6,172"
"In-state Tuition & Fees $9,839 (2017-18)","Out-of-state Tuition & Fees $27,701 (2017-18)","Room and Board $9,980 (2017-18)","Total Enrollment 8,884","Public, Coed","None","Semester","Rural","Rural","$179.4 million","            $66,600*","            84%","            20:1","            23%"
"In-state Tuition & Fees $9,017 (2018-19)","Out-of-state Tuition & Fees $24,538 (2018-19)","Room and Board $8,558 (2018-19)","Total Enrollment 25,254","Public, Coed","None","Semester","City","City","$386.6 million","            $50,000*","            74%","            20:1","            39%"
"In-state Tuition & Fees $10,710 (2018-19)","Out-of-state Tuition & Fees $24,630 (2018-19)","Room and Board $11,682 (2018-19)","Total Enrollment 20,902","Public, Coed","None","Semester","Urban","Urban","$495.3 million +","            $46,600*","            92%","            19:1","            32%"
"In-state Tuition & Fees $11,970 (2018-19)","Out-of-state Tuition & Fees $34,002 (2018-19)","Room and Board $13,689 (2018-19)","Total Enrollment 17,612","Public, Coed","None","Semester","Urban","Urban","$40.2 million +","            $47,500*","            83%","            10:1","            28%"
"In-state Tuition & Fees $15,180 (2018-19)","Out-of-state Tuition & Fees $32,827 (2018-19)","Room and Board $12,748 (2018-19)","Total Enrollment 18,316","Public, Coed","None","Semester","City","City","$84.8 million +","            $56,300*","            69%","            17:1","            39%"
"In-state Tuition & Fees $14,138 (2018-19)","Out-of-state Tuition & Fees $30,862 (2018-19)","Room and Board $12,350 (2018-19)","Total Enrollment 18,098","Public, Coed","None","Semester","Rural","Rural","$150.2 million","            $52,600*","            69%","            17:1","            47%"
"In-state Tuition & Fees $14,490 (2018-19)","Out-of-state Tuition & Fees $35,138 (2018-19)","Room and Board $10,428 (2018-19)","Total Enrollment 31,036","Public, Coed","None","Semester","Urban","Urban","$1.8 billion +","            $46,700*","            77%","            18:1","            40%"
"Tuition & Fees $29,500 (2018-19)","Tuition & Fees $29,500 (2018-19)","Room and Board $11,020 (2018-19)","Total Enrollment 2,221","Private, Coed","Roman Catholic","Semester","City","City","$51.7 million +","            $46,500*","            71%","            9:1","            38%"
"In-state Tuition & Fees $6,368 (2018-19)","Out-of-state Tuition & Fees $22,467 (2018-19)","Room and Board $9,617 (2018-19)","Total Enrollment 66,183","Public, Coed","None","Semester","Suburban","Suburban","$155.2 million +","            $46,500*","            50%","            30:1","            40%"
"In-state Tuition & Fees $7,864 (2018-19)","Out-of-state Tuition & Fees $25,500 (2018-19)","Room and Board $8,880 (2018-19)","Total Enrollment 12,072","Public, Coed","None","Semester","Rural","Rural","$265.1 million","            $49,800*","            73%","            14:1","            30%"
"In-state Tuition & Fees $11,798 (2018-19)","Out-of-state Tuition & Fees $26,892 (2018-19)","Room and Board $12,046 (2018-19)","Total Enrollment 13,662","Public, Coed","None","4-1-4","Suburban","Suburban","$92.0 million +","            $57,100*","            60%","            18:1","            39%"
"In-state Tuition & Fees $12,970 (2018-19)","Out-of-state Tuition & Fees $20,578 (2018-19)","Room and Board $14,458 (2017-18)","Total Enrollment 21,103","Public, Coed","None","Semester","Suburban","Suburban","$42.9 million","            $47,300*","            71%","            17:1","            42%"
"Tuition & Fees $42,939 (2018-19)","Tuition & Fees $42,939 (2018-19)","Room and Board $11,796 (2018-19)","Total Enrollment 3,813","Private, Coed","None","Quarter","Urban","Urban","$99.7 million +","            Selective","            Feb. 1","            54%","            3,813"
"In-state Tuition & Fees $9,896 (2018-19)","Out-of-state Tuition & Fees $26,468 (2018-19)","Room and Board $10,234 (2018-19)","Total Enrollment 22,513","Public, Coed","None","Semester","Suburban","Suburban","$201.8 million +","            $42,600*","            62%","            17:1","            48%"
"In-state Tuition & Fees $14,490 (2018-19)","Out-of-state Tuition & Fees $26,014 (2018-19)","Room and Board $9,948 (2018-19)","Total Enrollment 20,784","Public, Coed","None","Semester","Urban","Urban","$113.0 million +","            $47,200*","            89%","            17:1","            47%"
"In-state Tuition & Fees $12,192 (2018-19)","Out-of-state Tuition & Fees $21,656 (2018-19)","Room and Board $12,966 (2018-19)","Total Enrollment 29,525","Public, Coed","None","Semester","N/A","N/A","$536.2 million","            $48,200*","            74%","            17:1","            44%"
"In-state Tuition & Fees $13,422 (2018-19)","Out-of-state Tuition & Fees $21,890 (2018-19)","Room and Board $12,236 (2018-19)","Total Enrollment 18,484","Public, Coed","None","Semester","Suburban","Suburban","$191.8 million +","            $48,300*","            59%","            17:1","            48%"
"In-state Tuition & Fees $10,890 (2018-19)","Out-of-state Tuition & Fees $26,340 (2018-19)","Room and Board $9,104 (2018-19)","Total Enrollment 45,364","Public, Coed","None","Semester","Urban","Urban","$753.1 million +","            $53,800*","            61%","            22:1","            25%"
"In-state Tuition & Fees $11,264 (2018-19)","Out-of-state Tuition & Fees $26,286 (2018-19)","Room and Board $9,226 (2018-19)","Total Enrollment 21,403","Public, Coed","None","Semester","Urban","Urban","$719.0 million +","            $47,100*","            76%","            15:1","            31%"
"Tuition & Fees $41,850 (2018-19)","Tuition & Fees $41,850 (2018-19)","Room and Board $12,880 (2018-19)","Total Enrollment 6,402","Private, Coed","None","Semester","City","City","$70.8 million","            $58,000*","            63%","            15:1","            43%"
"Tuition & Fees $28,470 (2018-19)","Tuition & Fees $28,470 (2018-19)","Room and Board $10,088 (2018-19)","Total Enrollment 7,689","Private, Coed","None","Semester","Suburban","Suburban","$50.3 million","            $45,700*","            92%","            14:1","            54%"
"In-state Tuition & Fees $8,650 (2018-19)","Out-of-state Tuition & Fees $23,250 (2018-19)","Room and Board $10,090 (2018-19)","Total Enrollment 21,883","Public, Coed","None","Semester","Rural","Rural","$472.0 million +","            $49,300*","            73%","            20:1","            30%"
"Tuition & Fees $45,330 (2018-19)","Tuition & Fees $45,330 (2018-19)","Room and Board $19,053 (2018-19)","Total Enrollment 13,312","Private, Coed","None","Semester","Urban","Urban","$169.9 million","            $54,100*","            80%","            14:1","            39%"
"Tuition & Fees $38,566 (2018-19)","Tuition & Fees $38,566 (2018-19)","Room and Board $17,846 (2018-19)","Total Enrollment 7,288","Private, Coed","None","Semester","Urban","Urban","$231.7 million +","            $47,600*","            83%","            13:1","            45%"
"In-state Tuition & Fees $11,170 (2018-19)","Out-of-state Tuition & Fees $30,970 (2018-19)","Room and Board $10,418 (2018-19)","Total Enrollment 11,240","Public, Coed","None","Semester","Rural","Rural","$299.9 million","            $50,300*","            92%","            16:1","            38%"
"Tuition & Fees $27,350 (2018-19)","Tuition & Fees $27,350 (2018-19)","Room and Board $12,620 (2018-19)","Total Enrollment 2,517","Private, Coed","Roman Catholic","Semester","Suburban","Suburban","N/A","            $47,900*","            83%","            9:1","            48%"
"Tuition & Fees $27,850 (2018-19)","Tuition & Fees $27,850 (2018-19)","Room and Board $16,200 (2018-19)","Total Enrollment 4,732","Private, Coed","None","Semester","N/A","N/A","$185.7 million","            $43,600*","            73%","            12:1","            49%"
"Tuition & Fees $30,300 (2018-19)","Tuition & Fees $30,300 (2018-19)","Room and Board $11,400 (2018-19)","Total Enrollment 5,076","Private, Coed","None","Semester","Suburban","Suburban","$33.6 million +","            $47,400*","            83%","            15:1","            47%"
"In-state Tuition & Fees $5,400 (2018-19)","Out-of-state Tuition & Fees $17,490 (2018-19)","Room and Board $10,320 (2018-19)","Total Enrollment 12,397","Public, Coed","None","Semester","Suburban","Suburban","$464.3 million","            $51,500*","            97%","            15:1","            26%"
"In-state Tuition & Fees $6,558 (2018-19)","Out-of-state Tuition & Fees $18,956 (2018-19)","Room and Board $10,882 (2018-19)","Total Enrollment 56,851","Public, Coed","None","Semester","Urban","Urban","$240.6 million","            $45,500*","            51%","            25:1","            27%"
"In-state Tuition & Fees $10,858 (2018-19)","Out-of-state Tuition & Fees $29,432 (2018-19)","Room and Board $14,692 (2018-19)","Total Enrollment 32,848","Public, Coed","None","Semester","Urban","Urban","$165.9 million +","            $47,700*","            52%","            23:1","            23%"
"In-state Tuition & Fees $11,045 (2018-19)","Out-of-state Tuition & Fees $23,495 (2018-19)","Room and Board $9,772 (2018-19)","Total Enrollment 36,996","Public, Coed","None","Semester","City","City","$729.2 million +","            $54,000*","            69%","            20:1","            35%"
"In-state Tuition & Fees $7,322 (2018-19)","Out-of-state Tuition & Fees $22,966 (2018-19)","Room and Board $9,864 (2018-19)","Total Enrollment 26,278","Public, Coed","None","Semester","Urban","Urban","N/A","            $45,200*","            49%","            16:1","            19%"
"In-state Tuition & Fees $10,756 (2018-19)","Out-of-state Tuition & Fees $19,456 (2018-19)","Room and Board $11,362 (2018-19)","Total Enrollment 28,972","Public, Coed","None","Semester","Suburban","Suburban","$136.8 million","            $42,500*","            88%","            20:1","            34%"
"Tuition & Fees $30,900 (2018-19)","Tuition & Fees $30,900 (2018-19)","Room and Board $12,040 (2018-19)","Total Enrollment 20,793","Private, Coed","None","Trimester","Suburban","Suburban","$117.8 million +","            $49,300*","            58%","            17:1","            41%"
"In-state Tuition & Fees $14,167 (2018-19)","Out-of-state Tuition & Fees $33,966 (2018-19)","Room and Board $16,290 (2018-19)","Total Enrollment 16,415","Public, Coed","None","Semester","N/A","N/A","$80.7 million","            $50,600*","            75%","            16:1","            21%"
"Tuition & Fees $29,288 (2018-19)","Tuition & Fees $29,288 (2018-19)","Room and Board $9,078 (2018-19)","Total Enrollment 3,348","Private, Coed","Seventh Day Adventist","Semester","Rural","Rural","$53.1 million","            $47,500*","            58%","            10:1","            33%"
"In-state Tuition & Fees $7,188 (2018-19)","Out-of-state Tuition & Fees $23,465 (2018-19)","Room and Board $10,354 (2018-19)","Total Enrollment 29,131","Public, Coed","None","Semester","City","City","$185.8 million +","            $45,700*","            79%","            19:1","            36%"
"In-state Tuition & Fees $9,465 (2018-19)","Out-of-state Tuition & Fees $29,821 (2018-19)","Room and Board $8,924 (2018-19)","Total Enrollment 29,791","Public, Coed","None","Semester","Urban","Urban","$1.1 billion","            $48,500*","            80%","            17:1","            21%"
"Tuition & Fees $32,144 (2018-19)","Tuition & Fees $32,144 (2018-19)","Room and Board $12,652 (2018-19)","Total Enrollment 4,642","Private, Coed","Churches of Christ","Semester","Suburban","Suburban","$79.0 million +","            $46,400*","            60%","            14:1","            46%"
"Tuition & Fees $40,694 (2018-19)","Tuition & Fees $40,694 (2018-19)","Room and Board $12,476 (2018-19)","Total Enrollment 6,561","Private, Coed","None","Semester","Suburban","Suburban","$164.5 million","            $51,000*","            81%","            9:1","            46%"
"In-state Tuition & Fees $6,854 (2018-19)","Out-of-state Tuition & Fees $20,813 (2018-19)","Room and Board $12,822 (2018-19)","Total Enrollment 29,317","Public, Coed","None","Semester","Suburban","Suburban","$186.7 million +","            $49,900*","            66%","            19:1","            29%"
"Tuition & Fees $45,948 (2018-19)","Tuition & Fees $45,948 (2018-19)","Room and Board $14,446 (2018-19)","Total Enrollment 6,518","Private, Coed","None","Semester","Suburban","Suburban","$80.9 million","            $54,000*","            65%","            14:1","            44%"
"Tuition & Fees $18,108 (2018-19)","Tuition & Fees $18,108 (2018-19)","Room and Board $7,080 (2018-19)","Total Enrollment 10,187","Private, Coed","Undenominational","Semester","Suburban","Suburban","$95.3 million","            $40,000*","            81%","            21:1","            51%"
"In-state Tuition & Fees $7,244 (2018-19)","Out-of-state Tuition & Fees $24,959 (2018-19)","Room and Board $9,178 (2018-19)","Total Enrollment 11,865","Public, Coed","None","Semester","Urban","Urban","$179.5 million","            $43,700*","            93%","            17:1","            29%"
"In-state Tuition & Fees $7,925 (2018-19)","Out-of-state Tuition & Fees $22,397 (2018-19)","Room and Board $10,868 (2018-19)","Total Enrollment 21,657","Public, Coed","None","Semester","Urban","Urban","$305.1 million","            $50,000*","            88%","            20:1","            26%"
"In-state Tuition & Fees $7,248 (2018-19)","Out-of-state Tuition & Fees $22,494 (2018-19)","Room and Board $9,038 (2018-19)","Total Enrollment 19,922","Public, Coed","None","Semester","Urban","Urban","$275.0 million","            $41,600*","            78%","            18:1","            30%"
"Tuition & Fees $37,506 (2018-19)","Tuition & Fees $37,506 (2018-19)","Room and Board $9,794 (2018-19)","Total Enrollment 9,926","Private, Coed","Evangelical Christian","Semester","Suburban","Suburban","$81.4 million +","            $45,600*","            60%","            10:1","            N/A"
"In-state Tuition & Fees $6,585 (2018-19)","Out-of-state Tuition & Fees $12,723 (2018-19)","Room and Board $10,587 (2018-19)","Total Enrollment 25,168","Public, Coed","None","Semester","Urban","Urban","$144.3 million +","            $46,800*","            59%","            21:1","            15%"
"In-state Tuition & Fees $12,510 (2018-19)","Out-of-state Tuition & Fees $12,510 (2018-19)","Room and Board $9,736 (2018-19)","Total Enrollment 23,335","Public, Coed","None","Semester","Rural","Rural","$156.4 million +","            $45,900*","            68%","            20:1","            24%"
"In-state Tuition & Fees $7,421 (2018-19)","Out-of-state Tuition & Fees $24,849 (2018-19)","Room and Board $10,100 (2018-19)","Total Enrollment 16,703","Public, Coed","None","Semester","City","City","$151.7 million +","            $52,300*","            83%","            19:1","            24%"
"In-state Tuition & Fees $11,395 (2018-19)","Out-of-state Tuition & Fees $32,005 (2018-19)","Room and Board $11,547 (2018-19)","Total Enrollment 24,839","Public, Coed","None","Semester","Urban","Urban","N/A","            $50,600*","            65%","            17:1","            23%"
"In-state Tuition & Fees $8,827 (2018-19)","Out-of-state Tuition & Fees $20,891 (2018-19)","Room and Board $8,974 (2018-19)","Total Enrollment 14,406","Public, Coed","None","Semester","City","City","$267.4 million","            $50,500*","            83%","            18:1","            26%"
"In-state Tuition & Fees $7,424 (2018-19)","Out-of-state Tuition & Fees $21,505 (2018-19)","Room and Board $6,400 (2018-19)","Total Enrollment 27,679","Public, Coed","None","Semester","City","City","$360.2 million","            $49,100*","            89%","            20:1","            18%"
"In-state Tuition & Fees $13,776 (2017-18)","Out-of-state Tuition & Fees $29,663 (2017-18)","Room and Board $10,106 (2017-18)","Total Enrollment 27,089","Public, Coed","None","Semester","Urban","Urban","$366.7 million +","            $48,400*","            67%","            16:1","            19%"
"In-state Tuition & Fees $12,483 (2018-19)","Out-of-state Tuition & Fees $15,373 (2018-19)","Room and Board $10,143 (2018-19)","Total Enrollment 22,894","Public, Coed","None","Semester","City","City","$386.6 million +","            $48,100*","            82%","            17:1","            22%"
"In-state Tuition & Fees $8,856 (2018-19)","Out-of-state Tuition & Fees $24,950 (2018-19)","Room and Board $10,918 (2018-19)","Total Enrollment 28,409","Public, Coed","None","Semester","Suburban","Suburban","$574.1 million +","            $52,000*","            72%","            20:1","            32%"
"In-state Tuition & Fees $11,105 (2018-19)","Out-of-state Tuition & Fees $19,093 (2018-19)","Room and Board $9,168 (2018-19)","Total Enrollment 17,357","Public, Coed","None","Semester","Rural","Rural","$156.0 million +","            $44,400*","            68%","            18:1","            35%"
"In-state Tuition & Fees $10,176 (2018-19)","Out-of-state Tuition & Fees $15,144 (2018-19)","Room and Board $8,822 (2018-19)","Total Enrollment 14,358","Public, Coed","None","Semester","City","City","$512,215","            $52,800*","            92%","            18:1","            32%"
"In-state Tuition & Fees $11,140 (2018-19)","Out-of-state Tuition & Fees $29,680 (2018-19)","Room and Board $12,318 (2018-19)","Total Enrollment 24,375","Public, Coed","None","Semester","Urban","Urban","$204.7 million +","            $47,700*","            86%","            18:1","            27%"
"Tuition & Fees $32,530 (2018-19)","Tuition & Fees $32,530 (2018-19)","Room and Board $10,370 (2018-19)","Total Enrollment 3,844","Private, Coed","United Methodist","Semester","City","City","$63.4 million +","            $50,300*","            83%","            10:1","            53%"
"In-state Tuition & Fees $8,800 (2018-19)","Out-of-state Tuition & Fees $24,970 (2018-19)","Room and Board $8,930 (2018-19)","Total Enrollment 7,744","Public, Coed","None","Semester","Urban","Urban","$98.9 million","            $56,200*","            77%","            8:1","            20%"
"In-state Tuition & Fees $13,921 (2018-19)","Out-of-state Tuition & Fees $29,141 (2018-19)","Room and Board $13,582 (2018-19)","Total Enrollment 8,406","Public, Coed","None","Semester","Suburban","Suburban","$46.1 million","            $51,600*","            84%","            16:1","            30%"
